Perusahaan,Posisi,Lokasi,Gaji,Sistem Kerja,Pendidikan Minimal,Pengalaman Kerja,Kriteria,Kriteria_Clean,Kriteria_CF,Kriteria_Token,Kriteria_Stemming,Kriteria_Stopword
Rumah Sakit Hosana Medica Lippo Cikarang,Dokter Spesialis Fisik dan Rehabilitasi (Sp.KFR),Jawa Barat,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['Master / S2', 'Doctor / S3', 'Fresh Graduate', 'Staff / Officer', 'Kesehatan & Medis', 'Dokter Spesialis']",Master  S Doctor  S Fresh Graduate Staff  Officer Kesehatan  Medis Dokter Spesialis,master  s doctor  s fresh graduate staff  officer kesehatan  medis dokter spesialis,"['master', 's', 'doctor', 's', 'fresh', 'graduate', 'staff', 'officer', 'kesehatan', 'medis', 'dokter', 'spesialis']","['master', 's', 'doctor', 's', 'fresh', 'graduate', 'staff', 'officer', 'sehat', 'medis', 'dokter', 'spesialis']",master s doctor s fresh graduate staff officer sehat medis dokter spesialis
Jojo Juice,Marketing And Branding F&B,Pontianak,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Staff / Officer', 'Marketing / Pemasaran', 'Brand Marketing']",DiplomaDDD Sarjana  S Fresh Graduate Staff  Officer Marketing  Pemasaran Brand Marketing,diplomaddd sarjana  s fresh graduate staff  officer marketing  pemasaran brand marketing,"['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'staff', 'officer', 'marketing', 'pemasaran', 'brand', 'marketing']","['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'staff', 'officer', 'marketing', 'pasar', 'brand', 'marketing']",diplomaddd sarjana s fresh graduate staff officer marketing pasar brand marketing
PT. SUMIA TECHNOSKIN ASIA,Content Creator,Jakarta Selatan,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Staff / Officer', 'Marketing / Pemasaran', 'Content Marketing']",DiplomaDDD Sarjana  S Fresh Graduate Staff  Officer Marketing  Pemasaran Content Marketing,diplomaddd sarjana  s fresh graduate staff  officer marketing  pemasaran content marketing,"['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'staff', 'officer', 'marketing', 'pemasaran', 'content', 'marketing']","['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'staff', 'officer', 'marketing', 'pasar', 'content', 'marketing']",diplomaddd sarjana s fresh graduate staff officer marketing pasar content marketing
PT. KARYA INDONESIA SUKSES,Admin Logistik,Jakarta Utara,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Staff / Officer', 'Administrasi', 'Staf Admin']",Staff  Officer Administrasi Staf Admin,staff  officer administrasi staf admin,"['staff', 'officer', 'administrasi', 'staf', 'admin']","['staff', 'officer', 'administrasi', 'staf', 'admin']",staff officer administrasi staf admin
PT. AGUSTA MITRA SUKSES,Finnance Accounting Tax ( FAT ),Jakarta Pusat,Negosiasi,Full Time,Diploma/D1/D2/D3,3-5 Tahun,"['Sarjana / S1', '6-10 Tahun', 'Junior / Entry Level', 'Akuntansi', 'Akuntansi Finansial']",Sarjana  S  Tahun Junior  Entry Level Akuntansi Akuntansi Finansial,sarjana  s  tahun junior  entry level akuntansi akuntansi finansial,"['sarjana', 's', 'tahun', 'junior', 'entry', 'level', 'akuntansi', 'akuntansi', 'finansial']","['sarjana', 's', 'tahun', 'junior', 'entry', 'level', 'akuntansi', 'akuntansi', 'finansial']",sarjana s junior entry level akuntansi akuntansi finansial
PT. Simetric Consulting Group,Sekretaris,Tangerang Selatan,Negosiasi,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Administrasi', 'Asisten Pribadi & Sekretaris']",Sarjana  S Fresh Graduate Junior  Entry Level Administrasi Asisten Pribadi  Sekretaris,sarjana  s fresh graduate junior  entry level administrasi asisten pribadi  sekretaris,"['sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'administrasi', 'asisten', 'pribadi', 'sekretaris']","['sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'administrasi', 'asisten', 'pribadi', 'sekretaris']",sarjana s fresh graduate junior entry level administrasi asisten pribadi sekretaris
Central Conveyor Belting,Admin Ekspedisi,Jakarta Barat,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Staff / Officer', 'Transportasi & Logistik', 'Supply Chain & Distribusi']",Staff  Officer Transportasi  Logistik Supply Chain  Distribusi,staff  officer transportasi  logistik supply chain  distribusi,"['staff', 'officer', 'transportasi', 'logistik', 'supply', 'chain', 'distribusi']","['staff', 'officer', 'transportasi', 'logistik', 'supply', 'chain', 'distribusi']",staff officer transportasi logistik supply chain distribusi
My Capsule Batavia,General Receptionist Assistant (GRA),Jakarta Pusat,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Lebih dari 10 Tahun', 'Staff / Officer', 'Layanan Pelanggan', 'Resepsionis / Front Office']",DiplomaDDD Sarjana  S Lebih dari  Tahun Staff  Officer Layanan Pelanggan Resepsionis  Front Office,diplomaddd sarjana  s lebih dari  tahun staff  officer layanan pelanggan resepsionis  front office,"['diplomaddd', 'sarjana', 's', 'lebih', 'dari', 'tahun', 'staff', 'officer', 'layanan', 'pelanggan', 'resepsionis', 'front', 'office']","['diplomaddd', 'sarjana', 's', 'lebih', 'dari', 'tahun', 'staff', 'officer', 'layan', 'langgan', 'resepsionis', 'front', 'office']",diplomaddd sarjana s staff officer layan langgan resepsionis front office
PCS Payment Indonesia,Sales Merchant Acquisition,Jakarta Selatan,Rp 3 – 4 Juta,Freelance,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Staff / Officer', 'Perbankan / Jasa Finansial', 'Penjualan & Relasi Perbankan']",DiplomaDDD Sarjana  S Fresh Graduate Staff  Officer Perbankan  Jasa Finansial Penjualan  Relasi Perbankan,diplomaddd sarjana  s fresh graduate staff  officer perbankan  jasa finansial penjualan  relasi perbankan,"['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'staff', 'officer', 'perbankan', 'jasa', 'finansial', 'penjualan', 'relasi', 'perbankan']","['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'staff', 'officer', 'perban', 'jasa', 'finansial', 'jual', 'relasi', 'perban']",diplomaddd sarjana s fresh graduate staff officer perban jasa finansial jual relasi perban
PT Garam Bening Andalan Cirebon,Marketing,Bogor,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['Fresh Graduate', 'Staff / Officer', 'Marketing / Pemasaran', 'Komunikasi Pemasaran']",Fresh Graduate Staff  Officer Marketing  Pemasaran Komunikasi Pemasaran,fresh graduate staff  officer marketing  pemasaran komunikasi pemasaran,"['fresh', 'graduate', 'staff', 'officer', 'marketing', 'pemasaran', 'komunikasi', 'pemasaran']","['fresh', 'graduate', 'staff', 'officer', 'marketing', 'pasar', 'komunikasi', 'pasar']",fresh graduate staff officer marketing pasar komunikasi pasar
Lalalamp,Cleaning Service,Bekasi,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['3-5 Tahun', 'Fresh Graduate', 'Staff / Officer', 'Keterampilan & Jasa', 'Kebersihan & Bantuan Operasional']", Tahun Fresh Graduate Staff  Officer Keterampilan  Jasa Kebersihan  Bantuan Operasional, tahun fresh graduate staff  officer keterampilan  jasa kebersihan  bantuan operasional,"['tahun', 'fresh', 'graduate', 'staff', 'officer', 'keterampilan', 'jasa', 'kebersihan', 'bantuan', 'operasional']","['tahun', 'fresh', 'graduate', 'staff', 'officer', 'terampil', 'jasa', 'bersih', 'bantu', 'operasional']",fresh graduate staff officer terampil jasa bersih bantu operasional
PT. Neo Prima Putra,Admin Support,Bandung Kabupaten,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', '3-5 Tahun', 'Staff / Officer', 'Administrasi', 'Staf Admin']",DiplomaDDD  Tahun Staff  Officer Administrasi Staf Admin,diplomaddd  tahun staff  officer administrasi staf admin,"['diplomaddd', 'tahun', 'staff', 'officer', 'administrasi', 'staf', 'admin']","['diplomaddd', 'tahun', 'staff', 'officer', 'administrasi', 'staf', 'admin']",diplomaddd staff officer administrasi staf admin
PT DIAMOND MACHINERY INDONESIA,Supir,Jakarta Barat,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['3-5 Tahun', 'Junior / Entry Level', 'Transportasi & Logistik', 'Driver']", Tahun Junior  Entry Level Transportasi  Logistik Driver, tahun junior  entry level transportasi  logistik driver,"['tahun', 'junior', 'entry', 'level', 'transportasi', 'logistik', 'driver']","['tahun', 'junior', 'entry', 'level', 'transportasi', 'logistik', 'driver']",junior entry level transportasi logistik driver
PT DACO JAYA ABADI,Staff Purchasing,Bekasi,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Staff / Officer', 'Transportasi & Logistik', 'Procurement / Purchasing']",Staff  Officer Transportasi  Logistik Procurement  Purchasing,staff  officer transportasi  logistik procurement  purchasing,"['staff', 'officer', 'transportasi', 'logistik', 'procurement', 'purchasing']","['staff', 'officer', 'transportasi', 'logistik', 'procurement', 'purchasing']",staff officer transportasi logistik procurement purchasing
PT. HASHIMAWIRA BERSAUDARA,Marketing Manager,Jakarta Timur,Rp 10 – 12 Juta,Part Time,Sarjana / S1,6-10 Tahun,"['Lebih dari 10 Tahun', 'Manager / Assistant Manager', 'Marketing / Pemasaran', 'Manajemen Pemasaran']",Lebih dari  Tahun Manager  Assistant Manager Marketing  Pemasaran Manajemen Pemasaran,lebih dari  tahun manager  assistant manager marketing  pemasaran manajemen pemasaran,"['lebih', 'dari', 'tahun', 'manager', 'assistant', 'manager', 'marketing', 'pemasaran', 'manajemen', 'pemasaran']","['lebih', 'dari', 'tahun', 'manager', 'assistant', 'manager', 'marketing', 'pasar', 'manajemen', 'pasar']",manager assistant manager marketing pasar manajemen pasar
PT. HASHIMAWIRA BERSAUDARA,Staff Administrasi,Jakarta Timur,Rp 4 – 5 Juta,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Junior / Entry Level', 'Administrasi', 'Staf Admin']",DiplomaDDD Sarjana  S Junior  Entry Level Administrasi Staf Admin,diplomaddd sarjana  s junior  entry level administrasi staf admin,"['diplomaddd', 'sarjana', 's', 'junior', 'entry', 'level', 'administrasi', 'staf', 'admin']","['diplomaddd', 'sarjana', 's', 'junior', 'entry', 'level', 'administrasi', 'staf', 'admin']",diplomaddd sarjana s junior entry level administrasi staf admin
PT Nastec Germerzindo,Driver,Surabaya,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['3-5 Tahun', 'Junior / Entry Level', 'Transportasi & Logistik', 'Driver']", Tahun Junior  Entry Level Transportasi  Logistik Driver, tahun junior  entry level transportasi  logistik driver,"['tahun', 'junior', 'entry', 'level', 'transportasi', 'logistik', 'driver']","['tahun', 'junior', 'entry', 'level', 'transportasi', 'logistik', 'driver']",junior entry level transportasi logistik driver
Rays Residence,Resepsionis,Jakarta Barat,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Staff / Officer', 'Layanan Pelanggan', 'Resepsionis / Front Office']",DiplomaDDD Staff  Officer Layanan Pelanggan Resepsionis  Front Office,diplomaddd staff  officer layanan pelanggan resepsionis  front office,"['diplomaddd', 'staff', 'officer', 'layanan', 'pelanggan', 'resepsionis', 'front', 'office']","['diplomaddd', 'staff', 'officer', 'layan', 'langgan', 'resepsionis', 'front', 'office']",diplomaddd staff officer layan langgan resepsionis front office
PT Labodia Prima,Product Consultant,Jakarta Utara,Rp 5 – 6 Juta,Full Time,SMA / SMK / STM,3-5 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Master / S2', 'Junior / Entry Level', 'Sales / Penjualan', 'Konsultan Penjualan']",DiplomaDDD Sarjana  S Master  S Junior  Entry Level Sales  Penjualan Konsultan Penjualan,diplomaddd sarjana  s master  s junior  entry level sales  penjualan konsultan penjualan,"['diplomaddd', 'sarjana', 's', 'master', 's', 'junior', 'entry', 'level', 'sales', 'penjualan', 'konsultan', 'penjualan']","['diplomaddd', 'sarjana', 's', 'master', 's', 'junior', 'entry', 'level', 'sales', 'jual', 'konsultan', 'jual']",diplomaddd sarjana s master s junior entry level sales jual konsultan jual
PT. Gandasari Ekasatya,Digital Marketing (Internship),Jakarta Barat,Rp 2 – 3 Juta,Magang,Sarjana / S1,,"['Fresh Graduate', 'Junior / Entry Level', 'Marketing / Pemasaran', 'Content Marketing']",Fresh Graduate Junior  Entry Level Marketing  Pemasaran Content Marketing,fresh graduate junior  entry level marketing  pemasaran content marketing,"['fresh', 'graduate', 'junior', 'entry', 'level', 'marketing', 'pemasaran', 'content', 'marketing']","['fresh', 'graduate', 'junior', 'entry', 'level', 'marketing', 'pasar', 'content', 'marketing']",fresh graduate junior entry level marketing pasar content marketing
School of Universe,Librarian,Bogor,Rp 3 – 4 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', '3-5 Tahun', 'Fresh Graduate', 'Staff / Officer', 'Pendidikan Dan Pelatihan', 'Pustakawan']",Sarjana  S  Tahun Fresh Graduate Staff  Officer Pendidikan Dan Pelatihan Pustakawan,sarjana  s  tahun fresh graduate staff  officer pendidikan dan pelatihan pustakawan,"['sarjana', 's', 'tahun', 'fresh', 'graduate', 'staff', 'officer', 'pendidikan', 'dan', 'pelatihan', 'pustakawan']","['sarjana', 's', 'tahun', 'fresh', 'graduate', 'staff', 'officer', 'didik', 'dan', 'latih', 'pustakawan']",sarjana s fresh graduate staff officer didik latih pustakawan
PT NEPMA LINKA INDONESIA,Customer Service,Cikarang,Rp 2 – 3 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'Layanan Pelanggan', 'Customer Service']",Sarjana  S  Tahun Staff  Officer Layanan Pelanggan Customer Service,sarjana  s  tahun staff  officer layanan pelanggan customer service,"['sarjana', 's', 'tahun', 'staff', 'officer', 'layanan', 'pelanggan', 'customer', 'service']","['sarjana', 's', 'tahun', 'staff', 'officer', 'layan', 'langgan', 'customer', 'service']",sarjana s staff officer layan langgan customer service
PT GIFERA ODO TECHNOLOGY,SEO & Website Maintenance Specialist,Remote,Negosiasi,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Staff / Officer', 'IT / Information Technology', 'Programmer / Software Development']",Sarjana  S Staff  Officer IT  Information Technology Programmer  Software Development,sarjana  s staff  officer it  information technology programmer  software development,"['sarjana', 's', 'staff', 'officer', 'it', 'information', 'technology', 'programmer', 'software', 'development']","['sarjana', 's', 'staff', 'officer', 'it', 'information', 'technology', 'programmer', 'software', 'development']",sarjana s staff officer it information technology programmer software development
CV. PRIMA INTI VANINDO,Sales Supervisor,Sidoarjo,Rp 4 – 5 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Supervisor / Coordinator', 'Sales / Penjualan', 'Manajemen Penjualan']",DiplomaDDD Supervisor  Coordinator Sales  Penjualan Manajemen Penjualan,diplomaddd supervisor  coordinator sales  penjualan manajemen penjualan,"['diplomaddd', 'supervisor', 'coordinator', 'sales', 'penjualan', 'manajemen', 'penjualan']","['diplomaddd', 'supervisor', 'coordinator', 'sales', 'jual', 'manajemen', 'jual']",diplomaddd supervisor coordinator sales jual manajemen jual
PT ZHULIAN AZANA NETWORK,Bonus Distributionship Officer,Medan,Negosiasi,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Supervisor / Coordinator', 'Administrasi', 'Administrasi Penjualan']",DiplomaDDD Sarjana  S  Tahun Supervisor  Coordinator Administrasi Administrasi Penjualan,diplomaddd sarjana  s  tahun supervisor  coordinator administrasi administrasi penjualan,"['diplomaddd', 'sarjana', 's', 'tahun', 'supervisor', 'coordinator', 'administrasi', 'administrasi', 'penjualan']","['diplomaddd', 'sarjana', 's', 'tahun', 'supervisor', 'coordinator', 'administrasi', 'administrasi', 'jual']",diplomaddd sarjana s supervisor coordinator administrasi administrasi jual
Sha Sha Packaging,Sales Executive,Remote,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Staff / Officer', 'Sales / Penjualan', 'Konsultan Penjualan']",DiplomaDDD Sarjana  S Staff  Officer Sales  Penjualan Konsultan Penjualan,diplomaddd sarjana  s staff  officer sales  penjualan konsultan penjualan,"['diplomaddd', 'sarjana', 's', 'staff', 'officer', 'sales', 'penjualan', 'konsultan', 'penjualan']","['diplomaddd', 'sarjana', 's', 'staff', 'officer', 'sales', 'jual', 'konsultan', 'jual']",diplomaddd sarjana s staff officer sales jual konsultan jual
PT ZHULIAN AZANA NETWORK,IT (Hard ware) Officer,Medan,Negosiasi,Kontrak,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', '3-5 Tahun', 'Junior / Entry Level', 'IT / Information Technology', 'Help Desk & IT Support']",Sarjana  S  Tahun Junior  Entry Level IT  Information Technology Help Desk  IT Support,sarjana  s  tahun junior  entry level it  information technology help desk  it support,"['sarjana', 's', 'tahun', 'junior', 'entry', 'level', 'it', 'information', 'technology', 'help', 'desk', 'it', 'support']","['sarjana', 's', 'tahun', 'junior', 'entry', 'level', 'it', 'information', 'technology', 'help', 'desk', 'it', 'support']",sarjana s junior entry level it information technology help desk it support
PT ZHULIAN AZANA NETWORK,Marketing Executive,Medan,Negosiasi,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Junior / Entry Level', 'Marketing / Pemasaran', 'Content Marketing']",DiplomaDDD Sarjana  S  Tahun Junior  Entry Level Marketing  Pemasaran Content Marketing,diplomaddd sarjana  s  tahun junior  entry level marketing  pemasaran content marketing,"['diplomaddd', 'sarjana', 's', 'tahun', 'junior', 'entry', 'level', 'marketing', 'pemasaran', 'content', 'marketing']","['diplomaddd', 'sarjana', 's', 'tahun', 'junior', 'entry', 'level', 'marketing', 'pasar', 'content', 'marketing']",diplomaddd sarjana s junior entry level marketing pasar content marketing
PT Home Faucets Indonesia,Kepala Bagian Pemasaran,Mojokerto,Rp 5 – 6 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', '3-5 Tahun', 'Supervisor / Coordinator', 'Marketing / Pemasaran', 'Manajemen Pemasaran']",DiplomaDDD  Tahun Supervisor  Coordinator Marketing  Pemasaran Manajemen Pemasaran,diplomaddd  tahun supervisor  coordinator marketing  pemasaran manajemen pemasaran,"['diplomaddd', 'tahun', 'supervisor', 'coordinator', 'marketing', 'pemasaran', 'manajemen', 'pemasaran']","['diplomaddd', 'tahun', 'supervisor', 'coordinator', 'marketing', 'pasar', 'manajemen', 'pasar']",diplomaddd supervisor coordinator marketing pasar manajemen pasar
PT ZHULIAN AZANA NETWORK,Nutritionist,Medan,Negosiasi,Kontrak,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Junior / Entry Level', 'Kesehatan & Medis', 'Gizi & Nutrisi']", Tahun Junior  Entry Level Kesehatan  Medis Gizi  Nutrisi, tahun junior  entry level kesehatan  medis gizi  nutrisi,"['tahun', 'junior', 'entry', 'level', 'kesehatan', 'medis', 'gizi', 'nutrisi']","['tahun', 'junior', 'entry', 'level', 'sehat', 'medis', 'gizi', 'nutrisi']",junior entry level sehat medis gizi nutrisi
PT ZHULIAN AZANA NETWORK,Operation Assistant Manager,Medan,Negosiasi,Full Time,Diploma/D1/D2/D3,3-5 Tahun,"['Sarjana / S1', '6-10 Tahun', 'Manager / Assistant Manager', 'Administrasi', 'Manajemen Perkantoran']",Sarjana  S  Tahun Manager  Assistant Manager Administrasi Manajemen Perkantoran,sarjana  s  tahun manager  assistant manager administrasi manajemen perkantoran,"['sarjana', 's', 'tahun', 'manager', 'assistant', 'manager', 'administrasi', 'manajemen', 'perkantoran']","['sarjana', 's', 'tahun', 'manager', 'assistant', 'manager', 'administrasi', 'manajemen', 'kantor']",sarjana s manager assistant manager administrasi manajemen kantor
PT ZHULIAN AZANA NETWORK,Finance Assistant Manager,Medan,Negosiasi,Kontrak,Diploma/D1/D2/D3,3-5 Tahun,"['Sarjana / S1', '6-10 Tahun', 'Manager / Assistant Manager', 'Akuntansi', 'Manajemen Akuntansi']",Sarjana  S  Tahun Manager  Assistant Manager Akuntansi Manajemen Akuntansi,sarjana  s  tahun manager  assistant manager akuntansi manajemen akuntansi,"['sarjana', 's', 'tahun', 'manager', 'assistant', 'manager', 'akuntansi', 'manajemen', 'akuntansi']","['sarjana', 's', 'tahun', 'manager', 'assistant', 'manager', 'akuntansi', 'manajemen', 'akuntansi']",sarjana s manager assistant manager akuntansi manajemen akuntansi
PT. Padma Land Nusantara,Supervisor,Malang,Rp 3 – 4 Juta,Full Time,Diploma/D1/D2/D3,3-5 Tahun,"['Sarjana / S1', '6-10 Tahun', 'Supervisor / Coordinator', 'Hotel', 'Manajemen Perhotelan']",Sarjana  S  Tahun Supervisor  Coordinator Hotel Manajemen Perhotelan,sarjana  s  tahun supervisor  coordinator hotel manajemen perhotelan,"['sarjana', 's', 'tahun', 'supervisor', 'coordinator', 'hotel', 'manajemen', 'perhotelan']","['sarjana', 's', 'tahun', 'supervisor', 'coordinator', 'hotel', 'manajemen', 'hotel']",sarjana s supervisor coordinator hotel manajemen hotel
O3 Cafe dan Resto,SPV Sup Kitchen,Remote,Negosiasi,Full Time,SMA / SMK / STM,3-5 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '6-10 Tahun', 'Supervisor / Coordinator', 'Restaurant', 'Manajemen Restaurant']",DiplomaDDD Sarjana  S  Tahun Supervisor  Coordinator Restaurant Manajemen Restaurant,diplomaddd sarjana  s  tahun supervisor  coordinator restaurant manajemen restaurant,"['diplomaddd', 'sarjana', 's', 'tahun', 'supervisor', 'coordinator', 'restaurant', 'manajemen', 'restaurant']","['diplomaddd', 'sarjana', 's', 'tahun', 'supervisor', 'coordinator', 'restaurant', 'manajemen', 'restaurant']",diplomaddd sarjana s supervisor coordinator restaurant manajemen restaurant
Jet Auto Fix,Admin Sparepart,Yogyakarta,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Staff / Officer', 'Teknik', 'Teknik Otomotif']",DiplomaDDD Sarjana  S Fresh Graduate Staff  Officer Teknik Teknik Otomotif,diplomaddd sarjana  s fresh graduate staff  officer teknik teknik otomotif,"['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'staff', 'officer', 'teknik', 'teknik', 'otomotif']","['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'staff', 'officer', 'teknik', 'teknik', 'otomotif']",diplomaddd sarjana s fresh graduate staff officer teknik teknik otomotif
Jet Auto Fix,Service Advisor,Yogyakarta,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Fresh Graduate', 'Staff / Officer', 'Teknik', 'Teknik Otomotif']",DiplomaDDD Fresh Graduate Staff  Officer Teknik Teknik Otomotif,diplomaddd fresh graduate staff  officer teknik teknik otomotif,"['diplomaddd', 'fresh', 'graduate', 'staff', 'officer', 'teknik', 'teknik', 'otomotif']","['diplomaddd', 'fresh', 'graduate', 'staff', 'officer', 'teknik', 'teknik', 'otomotif']",diplomaddd fresh graduate staff officer teknik teknik otomotif
Jet Auto Fix,Mekanik,Yogyakarta,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Sarjana / S1', 'Fresh Graduate', 'Staff / Officer', 'Teknik', 'Teknik Otomotif']",Sarjana  S Fresh Graduate Staff  Officer Teknik Teknik Otomotif,sarjana  s fresh graduate staff  officer teknik teknik otomotif,"['sarjana', 's', 'fresh', 'graduate', 'staff', 'officer', 'teknik', 'teknik', 'otomotif']","['sarjana', 's', 'fresh', 'graduate', 'staff', 'officer', 'teknik', 'teknik', 'otomotif']",sarjana s fresh graduate staff officer teknik teknik otomotif
Yayasan Dhammasavana,Guru Bahasa Inggris,Jakarta Barat,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['Staff / Officer', 'Pendidikan Dan Pelatihan', 'Guru Pendidikan Dasar']",Staff  Officer Pendidikan Dan Pelatihan Guru Pendidikan Dasar,staff  officer pendidikan dan pelatihan guru pendidikan dasar,"['staff', 'officer', 'pendidikan', 'dan', 'pelatihan', 'guru', 'pendidikan', 'dasar']","['staff', 'officer', 'didik', 'dan', 'latih', 'guru', 'didik', 'dasar']",staff officer didik latih guru didik dasar
PT. Senada Nijdam Design,Marketing In-House For Interior Design,Jakarta Selatan,Rp 7 – 8 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'Properti & Real Estate', 'Penjualan Rumah']",Sarjana  S  Tahun Staff  Officer Properti  Real Estate Penjualan Rumah,sarjana  s  tahun staff  officer properti  real estate penjualan rumah,"['sarjana', 's', 'tahun', 'staff', 'officer', 'properti', 'real', 'estate', 'penjualan', 'rumah']","['sarjana', 's', 'tahun', 'staff', 'officer', 'properti', 'real', 'estate', 'jual', 'rumah']",sarjana s staff officer properti real estate jual rumah
PT Masterin Edukasi Global,Sales Marketing,Tangerang Selatan,Rp 3 – 4 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Staff / Officer', 'Sales / Penjualan', 'Konsultan Penjualan']",Sarjana  S Staff  Officer Sales  Penjualan Konsultan Penjualan,sarjana  s staff  officer sales  penjualan konsultan penjualan,"['sarjana', 's', 'staff', 'officer', 'sales', 'penjualan', 'konsultan', 'penjualan']","['sarjana', 's', 'staff', 'officer', 'sales', 'jual', 'konsultan', 'jual']",sarjana s staff officer sales jual konsultan jual
Trex Yam,Waiters,Jakarta Utara,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Staff / Officer', 'Restaurant', 'Waiter / Waitress']",DiplomaDDD Staff  Officer Restaurant Waiter  Waitress,diplomaddd staff  officer restaurant waiter  waitress,"['diplomaddd', 'staff', 'officer', 'restaurant', 'waiter', 'waitress']","['diplomaddd', 'staff', 'officer', 'restaurant', 'waiter', 'waitress']",diplomaddd staff officer restaurant waiter waitress
PT. KHARISMAMAS INDOPUTRA,Sales Marketing Support,Jakarta Utara,Rp 6 – 7 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['Staff / Officer', 'Administrasi', 'Administrasi Penjualan']",Staff  Officer Administrasi Administrasi Penjualan,staff  officer administrasi administrasi penjualan,"['staff', 'officer', 'administrasi', 'administrasi', 'penjualan']","['staff', 'officer', 'administrasi', 'administrasi', 'jual']",staff officer administrasi administrasi jual
